                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4727,                 2.9247,                 1.4387,                0.30899,                0.23818,                0.26023,                0.14396,                 1.3243,                 2.4939,                 1.3427,                0.07028,              0.0033022,              0.0033022
                      2,                 1.3016,                 2.0832,                 1.3114,                0.36577,                0.43712,                0.31562,                0.18456,                 1.2985,                 2.0605,                 1.3522,               0.040215,              0.0065698,              0.0065698
                      3,                 1.3274,                 1.9517,                 1.3158,                0.34687,                0.37828,                0.31119,                0.16859,                 1.4722,                 2.1889,                 1.5289,               0.010083,              0.0097715,              0.0097715
                      4,                 1.3509,                 1.9234,                 1.3495,                0.32797,                0.31804,                0.25722,                0.13055,                 1.7045,                 2.3255,                 1.6816,               0.009703,               0.009703,               0.009703
                      5,                 1.3569,                 1.8613,                 1.3544,                0.39663,                0.45612,                0.34079,                 0.1912,                 1.4702,                  2.104,                 1.4927,               0.009604,               0.009604,               0.009604
                      6,                 1.3047,                 1.7615,                 1.3162,                0.42841,                0.52435,                0.45602,                 0.2736,                  1.313,                 1.6737,                 1.3482,               0.009505,               0.009505,               0.009505
                      7,                  1.277,                 1.6978,                 1.3011,                0.42514,                0.52653,                0.43571,                0.26145,                 1.3398,                 1.7598,                 1.3845,               0.009406,               0.009406,               0.009406
                      8,                 1.2658,                  1.657,                  1.294,                0.44658,                0.52147,                0.45941,                0.27971,                 1.2432,                 1.6441,                 1.3051,               0.009307,               0.009307,               0.009307
                      9,                 1.2432,                 1.6111,                  1.281,                0.49831,                0.53516,                0.49387,                0.31388,                 1.2072,                 1.5492,                  1.295,               0.009208,               0.009208,               0.009208
                     10,                 1.2084,                 1.5616,                 1.2627,                0.47502,                0.56037,                0.51287,                0.33865,                 1.1495,                 1.5007,                 1.2568,               0.009109,               0.009109,               0.009109
                     11,                 1.2073,                 1.5434,                 1.2619,                0.48724,                0.58471,                0.52864,                0.33829,                 1.2028,                 1.4862,                 1.2724,                0.00901,                0.00901,                0.00901
                     12,                 1.1956,                 1.4992,                 1.2548,                0.51529,                0.55476,                0.53692,                0.35079,                 1.1721,                  1.446,                 1.2677,               0.008911,               0.008911,               0.008911
                     13,                 1.1792,                 1.4801,                 1.2447,                0.52268,                0.59496,                0.55525,                0.36284,                 1.1258,                 1.4377,                 1.2391,               0.008812,               0.008812,               0.008812
                     14,                 1.1648,                 1.4485,                 1.2336,                0.50952,                0.52717,                0.52745,                0.33836,                 1.1968,                  1.501,                 1.2878,               0.008713,               0.008713,               0.008713
                     15,                 1.1484,                 1.4239,                 1.2287,                0.53863,                0.59451,                0.56597,                0.36428,                 1.1619,                 1.3534,                 1.2529,               0.008614,               0.008614,               0.008614
                     16,                 1.1352,                 1.3883,                 1.2179,                0.51569,                0.62482,                0.58537,                0.38488,                  1.133,                 1.3703,                 1.2371,               0.008515,               0.008515,               0.008515
                     17,                   1.13,                 1.3985,                 1.2217,                0.55486,                0.58806,                0.57893,                0.38501,                 1.0866,                 1.3279,                 1.2167,               0.008416,               0.008416,               0.008416
                     18,                  1.116,                 1.3594,                  1.203,                0.54309,                0.60735,                0.58523,                0.39232,                 1.1018,                 1.2915,                 1.2224,               0.008317,               0.008317,               0.008317
                     19,                 1.1161,                  1.346,                 1.2051,                 0.5406,                0.57413,                0.57433,                0.38435,                 1.1024,                 1.3939,                 1.2148,               0.008218,               0.008218,               0.008218
                     20,                 1.0931,                 1.3263,                 1.1963,                0.56394,                0.62398,                0.61089,                 0.4154,                 1.0598,                  1.244,                 1.1943,               0.008119,               0.008119,               0.008119
                     21,                 1.0965,                  1.312,                 1.1892,                0.57362,                0.63148,                0.61368,                0.40866,                 1.0879,                 1.2741,                  1.208,                0.00802,                0.00802,                0.00802
                     22,                 1.0865,                 1.2923,                 1.1875,                0.58127,                0.59313,                0.61571,                0.41281,                 1.0809,                 1.2498,                 1.2085,               0.007921,               0.007921,               0.007921
                     23,                  1.072,                 1.2895,                 1.1782,                0.57022,                0.62276,                0.63321,                0.43342,                  1.048,                 1.1891,                 1.1891,               0.007822,               0.007822,               0.007822
                     24,                 1.0755,                 1.2781,                 1.1843,                0.57963,                0.64296,                0.62954,                0.43036,                 1.0429,                 1.2209,                 1.1839,               0.007723,               0.007723,               0.007723
                     25,                 1.0635,                 1.2564,                 1.1755,                0.58398,                 0.5899,                0.62011,                0.42561,                 1.0714,                 1.2513,                  1.203,               0.007624,               0.007624,               0.007624
                     26,                 1.0536,                 1.2429,                 1.1703,                0.60746,                0.61741,                0.64172,                0.44149,                 1.0547,                 1.1736,                 1.1952,               0.007525,               0.007525,               0.007525
                     27,                 1.0462,                 1.2319,                 1.1684,                0.60528,                0.59143,                0.63388,                0.43945,                 1.0423,                 1.1953,                 1.1824,               0.007426,               0.007426,               0.007426
                     28,                 1.0411,                 1.2208,                 1.1659,                0.55862,                 0.6355,                 0.6272,                0.43604,                 1.0428,                 1.2059,                 1.1786,               0.007327,               0.007327,               0.007327
                     29,                 1.0382,                 1.2123,                 1.1615,                0.57787,                0.59836,                0.62676,                0.43914,                 1.0217,                  1.201,                 1.1767,               0.007228,               0.007228,               0.007228
                     30,                 1.0348,                 1.1968,                 1.1584,                0.59472,                0.61747,                0.62383,                0.43315,                 1.0207,                 1.1918,                 1.1507,               0.007129,               0.007129,               0.007129
                     31,                 1.0232,                 1.1841,                 1.1498,                  0.578,                0.64764,                0.64778,                0.45679,                 1.0036,                 1.1646,                 1.1527,                0.00703,                0.00703,                0.00703
                     32,                 1.0194,                 1.1725,                  1.146,                0.57274,                 0.6372,                0.64071,                0.44847,                 1.0219,                 1.1725,                 1.1681,               0.006931,               0.006931,               0.006931
                     33,                 1.0139,                 1.1588,                  1.141,                0.61125,                0.62597,                0.64501,                0.45215,                 1.0083,                 1.1453,                 1.1632,               0.006832,               0.006832,               0.006832
                     34,                 1.0044,                 1.1499,                 1.1364,                0.60934,                0.62882,                0.64889,                0.45624,                 1.0223,                 1.1586,                 1.1705,               0.006733,               0.006733,               0.006733
                     35,                0.99941,                 1.1422,                 1.1374,                 0.5971,                0.66798,                0.65595,                0.46044,                 1.0123,                 1.1078,                 1.1652,               0.006634,               0.006634,               0.006634
                     36,                0.99979,                 1.1413,                 1.1322,                0.62076,                0.62665,                0.66417,                0.46435,                0.99967,                 1.1253,                 1.1541,               0.006535,               0.006535,               0.006535
                     37,                 0.9828,                 1.1133,                 1.1256,                0.60752,                 0.6353,                0.65387,                0.45831,                 1.0181,                 1.1105,                 1.1645,               0.006436,               0.006436,               0.006436
                     38,                0.98491,                 1.1097,                 1.1288,                0.64537,                 0.6301,                0.67308,                 0.4754,                0.98543,                 1.0648,                 1.1501,               0.006337,               0.006337,               0.006337
                     39,                0.97724,                 1.1106,                 1.1247,                0.63628,                0.62062,                0.67601,                0.47888,                0.99743,                  1.112,                 1.1592,               0.006238,               0.006238,               0.006238
                     40,                0.97213,                 1.0989,                 1.1242,                0.61429,                0.66052,                0.67014,                0.46944,                0.99534,                 1.0786,                 1.1568,               0.006139,               0.006139,               0.006139
                     41,                0.96925,                 1.0794,                 1.1182,                0.59487,                0.67059,                0.67261,                0.47508,                0.99425,                 1.0838,                 1.1555,                0.00604,                0.00604,                0.00604
                     42,                 0.9634,                 1.0835,                 1.1199,                0.58418,                0.67851,                0.66189,                0.46975,                0.97817,                  1.102,                 1.1468,               0.005941,               0.005941,               0.005941
                     43,                0.96755,                 1.0828,                 1.1168,                0.60064,                0.67589,                0.67566,                 0.4799,                0.98917,                 1.0759,                 1.1487,               0.005842,               0.005842,               0.005842
                     44,                0.95971,                 1.0639,                 1.1126,                 0.6215,                0.66813,                0.68327,                0.48329,                0.98888,                 1.0585,                  1.148,               0.005743,               0.005743,               0.005743
                     45,                0.95705,                 1.0554,                 1.1112,                 0.6372,                0.63786,                0.68291,                 0.4824,                0.97684,                 1.0524,                 1.1416,               0.005644,               0.005644,               0.005644
                     46,                 0.9496,                 1.0498,                 1.1076,                0.64194,                0.64197,                0.68596,                0.48472,                0.96723,                 1.0691,                 1.1353,               0.005545,               0.005545,               0.005545
                     47,                0.94762,                 1.0493,                 1.1031,                 0.6289,                0.64378,                0.67774,                0.48228,                 0.9801,                 1.0675,                 1.1465,               0.005446,               0.005446,               0.005446
                     48,                0.93463,                 1.0299,                 1.0998,                0.62847,                0.64465,                0.68202,                0.48456,                0.98539,                 1.0839,                 1.1542,               0.005347,               0.005347,               0.005347
                     49,                0.93937,                 1.0326,                 1.0998,                 0.6013,                0.68169,                0.68294,                0.48624,                0.96969,                  1.051,                 1.1324,               0.005248,               0.005248,               0.005248
                     50,                0.93452,                 1.0162,                 1.1021,                0.61798,                0.68583,                0.68637,                0.48904,                0.96738,                 1.0363,                 1.1331,               0.005149,               0.005149,               0.005149
                     51,                0.92904,                 1.0134,                 1.0956,                0.64191,                0.65517,                0.69712,                0.49688,                0.97175,                 1.0283,                 1.1458,                0.00505,                0.00505,                0.00505
                     52,                0.92705,                 1.0035,                 1.0912,                0.61293,                0.69776,                0.68682,                0.49584,                0.95899,                  1.036,                 1.1348,               0.004951,               0.004951,               0.004951
                     53,                0.91348,                0.99333,                  1.087,                0.66016,                 0.6555,                0.69804,                0.50449,                0.95742,                 1.0118,                  1.132,               0.004852,               0.004852,               0.004852
                     54,                0.91871,                0.99806,                 1.0879,                0.61508,                0.67459,                0.69198,                0.49583,                0.95138,                 1.0246,                 1.1236,               0.004753,               0.004753,               0.004753
                     55,                0.91497,                0.99156,                 1.0883,                0.63457,                0.66629,                0.70057,                0.50365,                 0.9578,                 1.0152,                 1.1311,               0.004654,               0.004654,               0.004654
                     56,                0.91108,                0.97982,                 1.0874,                0.63358,                0.67965,                0.69956,                0.50123,                0.95017,                 1.0253,                  1.126,               0.004555,               0.004555,               0.004555
                     57,                0.90458,                0.97685,                 1.0818,                0.63703,                0.68705,                0.70531,                0.51031,                0.95217,                 1.0014,                 1.1258,               0.004456,               0.004456,               0.004456
                     58,                0.89834,                0.96186,                 1.0796,                0.65858,                0.67424,                0.70449,                0.50687,                0.95316,                0.99884,                 1.1281,               0.004357,               0.004357,               0.004357
                     59,                0.89705,                0.96235,                 1.0806,                0.65311,                0.66864,                0.71248,                0.51203,                0.95323,                 1.0035,                 1.1257,               0.004258,               0.004258,               0.004258
                     60,                0.88583,                0.95405,                 1.0757,                0.65602,                0.64739,                0.68888,                0.49629,                 0.9479,                 1.0238,                 1.1258,               0.004159,               0.004159,               0.004159
                     61,                0.88981,                0.94667,                 1.0693,                0.66388,                0.65204,                 0.7038,                0.51168,                0.93887,                 1.0072,                 1.1176,                0.00406,                0.00406,                0.00406
                     62,                0.88834,                0.93071,                  1.072,                0.63747,                0.66583,                0.69984,                0.50419,                0.95197,                 1.0185,                 1.1271,               0.003961,               0.003961,               0.003961
                     63,                0.88746,                0.93255,                 1.0691,                0.66639,                0.64953,                0.70512,                0.51061,                0.93586,                 1.0231,                 1.1142,               0.003862,               0.003862,               0.003862
                     64,                0.87588,                0.92078,                 1.0701,                0.63725,                0.67937,                0.71141,                0.51673,                0.94381,                0.99814,                 1.1205,               0.003763,               0.003763,               0.003763
                     65,                0.87513,                0.91547,                 1.0629,                0.64849,                0.67959,                0.70331,                0.51044,                0.94263,                 1.0063,                 1.1228,               0.003664,               0.003664,               0.003664
                     66,                0.86888,                0.91207,                 1.0591,                0.63091,                0.68148,                0.69156,                0.50338,                0.93677,                 1.0153,                 1.1235,               0.003565,               0.003565,               0.003565
                     67,                0.86209,                0.89234,                 1.0567,                0.66153,                0.66686,                0.70667,                0.51553,                0.93976,                0.99398,                 1.1203,               0.003466,               0.003466,               0.003466
                     68,                0.86298,                0.89826,                 1.0556,                0.65538,                 0.6647,                0.70481,                0.51162,                0.93926,                0.99806,                 1.1234,               0.003367,               0.003367,               0.003367
                     69,                0.85209,                0.89505,                 1.0529,                0.63794,                0.68753,                0.70516,                0.51681,                 0.9315,                0.99378,                 1.1148,               0.003268,               0.003268,               0.003268
                     70,                0.85823,                0.88566,                 1.0553,                0.65379,                0.67424,                0.70904,                0.51854,                0.92744,                 0.9782,                 1.1107,               0.003169,               0.003169,               0.003169
                     71,                 0.8532,                0.88303,                 1.0497,                0.62369,                0.69457,                0.71217,                0.52519,                0.92352,                0.97388,                 1.1091,                0.00307,                0.00307,                0.00307
                     72,                0.84848,                0.86848,                 1.0463,                0.67506,                 0.6424,                0.70657,                0.51883,                0.92305,                  0.981,                 1.1064,               0.002971,               0.002971,               0.002971
                     73,                0.85056,                0.87243,                 1.0514,                0.65424,                0.67682,                0.70229,                0.51441,                0.91775,                0.97508,                 1.1039,               0.002872,               0.002872,               0.002872
                     74,                0.83109,                0.85807,                 1.0377,                0.65921,                0.68344,                0.71038,                0.52123,                0.92016,                0.97152,                 1.1068,               0.002773,               0.002773,               0.002773
                     75,                0.84111,                0.86124,                 1.0457,                 0.6352,                0.68969,                0.70478,                0.51897,                0.92561,                0.99522,                 1.1058,               0.002674,               0.002674,               0.002674
                     76,                0.83006,                 0.8507,                 1.0375,                0.67166,                0.66897,                 0.7164,                0.52732,                0.91313,                0.95392,                 1.1011,               0.002575,               0.002575,               0.002575
                     77,                 0.8296,                0.84522,                 1.0365,                0.66184,                0.67166,                0.71716,                 0.5282,                0.91877,                0.97674,                 1.1084,               0.002476,               0.002476,               0.002476
                     78,                 0.8275,                0.84224,                 1.0392,                0.66135,                0.68368,                0.71197,                0.52234,                0.91475,                0.97149,                 1.1067,               0.002377,               0.002377,               0.002377
                     79,                0.82414,                0.83521,                  1.035,                0.65375,                0.67626,                0.70655,                  0.522,                0.91373,                0.98783,                 1.1093,               0.002278,               0.002278,               0.002278
                     80,                0.82575,                0.83296,                 1.0367,                0.65235,                0.69268,                0.71929,                0.53128,                0.91182,                0.97044,                 1.1038,               0.002179,               0.002179,               0.002179
                     81,                0.82738,                0.82506,                 1.0331,                0.69312,                0.65475,                0.72309,                0.53332,                0.91366,                0.95698,                 1.1092,                0.00208,                0.00208,                0.00208
                     82,                0.81072,                0.81915,                 1.0319,                0.65701,                0.67977,                0.71088,                0.52517,                0.91505,                0.98277,                 1.1065,               0.001981,               0.001981,               0.001981
                     83,                0.81843,                0.82633,                 1.0335,                0.64579,                0.66354,                0.70145,                0.51475,                 0.9293,                0.98718,                  1.111,               0.001882,               0.001882,               0.001882
                     84,                0.80753,                0.80181,                 1.0247,                0.64907,                 0.6829,                 0.7102,                0.52565,                0.91235,                0.97641,                 1.1044,               0.001783,               0.001783,               0.001783
                     85,                0.80942,                0.80769,                  1.029,                0.65583,                0.67455,                0.71257,                0.52625,                0.91852,                0.97225,                 1.1135,               0.001684,               0.001684,               0.001684
                     86,                0.80504,                 0.7996,                 1.0245,                0.66095,                0.66984,                0.71199,                0.52545,                0.91597,                0.99408,                 1.1066,               0.001585,               0.001585,               0.001585
                     87,                0.80039,                0.79245,                  1.024,                0.66356,                0.66978,                0.70962,                0.52503,                0.91592,                0.98517,                 1.1091,               0.001486,               0.001486,               0.001486
                     88,                0.80956,                 0.7992,                 1.0282,                0.67449,                0.67259,                0.71641,                  0.531,                0.91096,                0.96985,                  1.102,               0.001387,               0.001387,               0.001387
                     89,                  0.795,                 0.7796,                 1.0195,                0.67387,                0.66371,                 0.7129,                 0.5277,                0.90845,                 0.9637,                 1.1043,               0.001288,               0.001288,               0.001288
                     90,                 0.8038,                0.78982,                 1.0219,                0.65916,                0.68217,                0.71407,                0.52888,                0.91184,                0.97059,                 1.1043,               0.001189,               0.001189,               0.001189
                     91,                0.73216,                0.67111,                0.97921,                0.66073,                0.67313,                0.70743,                0.52098,                0.91545,                0.99294,                 1.1082,                0.00109,                0.00109,                0.00109
                     92,                0.70992,                0.62555,                0.96843,                 0.6617,                0.68274,                0.71267,                0.52671,                0.91692,                0.99822,                 1.1093,               0.000991,               0.000991,               0.000991
                     93,                0.69832,                 0.6085,                0.96416,                0.66076,                0.68568,                0.71686,                0.53094,                0.91357,                 0.9822,                 1.1074,               0.000892,               0.000892,               0.000892
