                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8558,                 1.4539,                 1.2405,                0.50356,                0.33677,                0.32857,                 0.1045,                 2.4934,                 1.6497,                0.98474,               0.070244,              0.0033062,              0.0033062
                      2,                 1.7587,                0.93108,                 1.1549,                 0.7683,                0.66996,                0.74192,                0.27986,                  2.048,                0.99283,                0.93191,               0.040178,              0.0065738,              0.0065738
                      3,                 1.7475,                0.90043,                 1.1402,                0.78757,                0.69529,                0.75265,                0.27166,                 2.1496,                0.94983,                 0.9436,               0.010046,              0.0097754,              0.0097754
                      4,                 1.7253,                0.86897,                 1.1219,                0.82898,                0.73367,                0.78598,                 0.2963,                 2.0184,                0.97567,                0.92628,               0.009703,               0.009703,               0.009703
                      5,                 1.6862,                0.81966,                  1.107,                0.85059,                0.76049,                0.83928,                0.34967,                 1.8848,                0.87041,                 0.9084,               0.009604,               0.009604,               0.009604
                      6,                 1.6638,                0.78396,                 1.0959,                0.86957,                0.79392,                0.86709,                0.37715,                 1.8254,                0.82877,                0.89773,               0.009505,               0.009505,               0.009505
                      7,                 1.6532,                0.77264,                 1.0863,                0.86805,                0.79366,                0.86723,                0.38616,                 1.8263,                0.80314,                0.89864,               0.009406,               0.009406,               0.009406
                      8,                 1.6348,                 0.7549,                 1.0838,                0.84113,                0.78783,                 0.8492,                0.37111,                 1.8238,                 0.9234,                0.89601,               0.009307,               0.009307,               0.009307
                      9,                 1.6173,                0.73618,                 1.0815,                0.88198,                0.79746,                0.86684,                0.36889,                 1.8783,                0.80636,                0.90367,               0.009208,               0.009208,               0.009208
                     10,                 1.6219,                0.73235,                 1.0839,                 0.8769,                 0.8116,                0.88231,                0.39048,                 1.8037,                0.78662,                0.89508,               0.009109,               0.009109,               0.009109
